ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2018,"2018",7101,1407.2700522643122,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2018,"2018",4001,782.8588633974837,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018",1172,651.2488003827723,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2018,"2018",16600,2266.463765428426,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018",134,153.8343264684446,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,"2018",4744,1169.9504263001916,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2018,"2018",30088,2467.1167382189274,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Construction (Group)",2,"Construction",2018,"2018",4174,968.9468509675853,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2018,"2018",40553,2812.746878053552,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018",22975,2067.1935081167417,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,"2018",6948,1221.3455694438,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2018,"2018",427,292.48076859855246,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018",1955,769.171632342223,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,"2018",17283,1850.0099999729732,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018",16378,1901.1601721054435,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2018,"2018",2725,706.1515418095466,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2018,"2018",4682,1058.9357865328757,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018",3778,861.1074265154145,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Information (Group)",8,"Information",2018,"2018",3624,833.2070570992544,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018",1076,426.39183857104956,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,"2017",6573,1228.492572220117,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2017,"2017",5339,1051.6701003641779,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,"2017",3613,857.6158813828018,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2017,"2017",3037,872.5691949639295,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,"2017",1081,512.4548760622735,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2017,"2017",465,315.77365311247866,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Construction (Group)",2,"Construction",2017,"2017",5955,1147.5125271647366,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,"2017",18527,2066.2129609505405,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2017,"2017",17531,2044.5158351061993,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017",16442,2226.5924638334695,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017",30434,2471.916058445351,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2017,"2017",2681,759.2265801458744,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,"2017",15,171.82840277439584,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2017,"2017",5486,1311.9775150512298,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2017,"2017",37256,2724.415533651209,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2017,"2017",4413,951.8329685401741,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2017,"2017",25319,2299.530386839887,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Information (Group)",8,"Information",2017,"2017",2691,607.3038778074779,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2017,"2017",981,425.33868857652726,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2017,"2017",4380,1017.805973651167,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Information (Group)",8,"Information",2016,"2016",4086,977.8803607803974,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2016,"2016",3572,729.1700761825049,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2016,"2016",4986,914.5824183746372,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2016,"2016",5176,1068.7080985938117,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2016,"2016",2628,726.3952092353032,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2016,"2016",15779,1584.6340271494867,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2016,"2016",14454,1753.6752835117452,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2016,"2016",331,218.6000914912892,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2016,"2016",2645,726.7461730205396,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2016,"2016",4865,1113.168900032695,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2016,"2016",1246,460.09238202778363,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2016,"2016",41246,2518.0955104999493,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2016,"2016",22671,1870.733011415579,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2016,"2016",31544,2307.0069354035327,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Construction (Group)",2,"Construction",2016,"2016",5119,922.5773680293701,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2016,"2016",2645,706.2719023152486,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2016,"2016",14563,1938.0691422134557,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,"2016",114,215.52030066794174,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2016,"2016",8062,1508.55692633722,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,"2016",623,245.2835094334717,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2015,"2015",4234,776.3742654158497,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Information (Group)",8,"Information",2015,"2015",3926,790.0056961819959,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2015,"2015",36791,2631.0321168697283,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2015,"2015",16098,1734.0418103379168,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2015,"2015",2807,760.6766724436868,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2015,"2015",18416,2016.9903321533295,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2015,"2015",31119,2438.516352210909,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2015,"2015",1335,581.233171799408,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2015,"2015",17851,1879.8034471720707,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2015,"2015",4736,1061.2332448618447,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2015,"2015",295,186.19613314996636,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Construction (Group)",2,"Construction",2015,"2015",6340,1081.8742995376126,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2015,"2015",13982,1622.8656752793804,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2015,"2015",1040,430.83407478981985,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2015,"2015",2620,628.0835931625662,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2015,"2015",32,175.5135322418189,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2015,"2015",7214,1455.871216832038,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2015,"2015",4977,1097.2096426845692,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2015,"2015",3816,755.2972924617167,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2015,"2015",4348,941.3463762080353,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2014,"2014",3488,788.5594460787341,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2014,"2014",2808,700.9086959083901,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2014,"2014",4853,953.2470823453907,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2014,"2014",123,115.67627241573787,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2014,"2014",38838,2440.832849664229,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Construction (Group)",2,"Construction",2014,"2014",4955,1020.8045846292031,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2014,"2014",17027,1924.1676122417193,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2014,"2014",4104,726.2513339058318,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2014,"2014",14282,1611.0273119969133,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2014,"2014",16234,1989.8869314611825,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2014,"2014",3029,917.5892327179957,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
