ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2018,"2018",64135,4925.803589263381,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2018,"2018",34808,3118.199801167334,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018",2189,788.921415604875,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2018,"2018",181124,7085.004516582892,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018",1700,650.8187151580692,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,"2018",103088,5952.406656134979,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2018,"2018",99630,5279.794692978127,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
1,"Construction (Group)",2,"Construction",2018,"2018",75865,4719.697977625264,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2018,"2018",65570,4075.5671997894965,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018",36998,3334.9476757514503,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,"2018",49796,3792.5400459322773,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2018,"2018",2095,876.1877652649573,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018",19997,2702.1889275178373,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,"2018",56874,4084.3981196744276,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018",118351,5274.713262348959,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2018,"2018",26606,3255.9941646139355,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2018,"2018",33532,3176.110986725748,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018",64258,4879.231599340207,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
6,"Information (Group)",8,"Information",2018,"2018",16818,2138.9343140919495,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018",4966,1070.3466728121314,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,"2017",50111,4401.014087684792,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2017,"2017",67229,5200.024038405976,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,"2017",92528,5391.507117680548,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2017,"2017",18765,2338.328035156744,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,"2017",587,373.0629973610355,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2017,"2017",421,312.9217154497271,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
1,"Construction (Group)",2,"Construction",2017,"2017",69870,4776.343057193442,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,"2017",52778,3543.7038533150594,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2017,"2017",119379,6078.478263513,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017",195379,7388.1095010834815,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017",97939,5756.29481524357,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2017,"2017",27981,2712.4300912650265,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
